timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1511948396941380 ,2,0,3,2,1,-2,-3,-3
1511948396942380 ,0,-2,0,-4,-6,-1,2,0
1511948396942380 ,-2,-2,-3,-6,-5,-4,-2,-2
1511948396945410 ,-1,0,-3,4,1,0,-1,-3
1511948396945410 ,-2,1,1,2,5,4,0,-1
1511948396953430 ,-2,-2,-3,-5,-7,-3,-3,-1
1511948396953430 ,-1,-1,-1,-3,7,-4,-1,0
1511948396969950 ,-2,-2,-3,1,-9,-2,-1,-1
1511948396969950 ,-2,-2,-1,-4,-5,-2,-2,-2
1511948396970960 ,1,-2,-2,0,-4,-3,-1,-2
1511948396970960 ,-3,-1,3,10,7,0,-1,-1
1511948396983010 ,0,-2,-6,-17,-11,-2,-3,-3
1511948396983010 ,0,-1,-1,-2,18,4,0,1
1511948396999100 ,-1,-2,-1,30,-3,-7,-2,-1
1511948396999100 ,-2,-1,0,-12,-7,2,-3,-1
1511948397000540 ,-1,0,3,3,-12,-6,-2,-1
1511948397000540 ,-2,-4,1,2,0,1,-1,-2
1511948397013570 ,0,1,-7,-17,4,1,-1,-2
1511948397013570 ,-1,0,12,-3,0,-3,-2,-2
1511948397020090 ,-2,-4,-10,25,14,-2,1,-1
1511948397020090 ,-1,-2,-13,-14,-5,-2,-1,-2
1511948397036130 ,-2,-12,-8,11,1,2,-4,-3
1511948397036130 ,-1,1,-8,-30,-9,-6,1,-1
1511948397042670 ,-2,3,4,-10,-3,-4,-2,-2
1511948397042670 ,1,1,13,4,-4,-2,1,0
1511948397051210 ,-4,2,-15,-1,-15,-3,-1,-1
1511948397051210 ,-1,-2,0,16,10,2,0,-2
1511948397057760 ,-2,-3,-1,-15,7,4,-3,-3
1511948397057760 ,0,0,0,7,-8,-10,-2,-1
1511948397073250 ,1,1,-1,-21,-14,2,-3,-1
1511948397073250 ,-3,-4,1,0,-21,-26,-6,-2
1511948397080270 ,-1,0,-8,-6,17,23,1,0
1511948397080270 ,0,4,6,9,0,-10,5,1
1511948397096290 ,-1,0,10,-1,-1,-10,-7,-1
1511948397096290 ,-3,-2,-9,-13,9,2,4,-2
1511948397111560 ,-2,-4,0,-4,18,-2,-2,-3
1511948397111560 ,-1,5,10,5,-49,6,-1,0
1511948397112490 ,0,0,2,-2,17,0,-2,-1
1511948397112490 ,-3,-11,-12,5,9,-14,-8,-3
1511948397118030 ,-1,-2,17,1,-18,-2,5,1
1511948397118030 ,-2,-3,-14,-2,12,7,-2,-1
1511948397133570 ,1,5,-2,-27,5,11,6,1
1511948397133570 ,-2,-9,-9,15,-11,-8,-5,-2
1511948397140570 ,0,5,-1,5,-14,10,2,1
1511948397140570 ,-4,-7,5,2,7,-11,-11,-4
1511948397156110 ,-4,5,6,-24,0,2,-4,-2
1511948397156110 ,2,6,61,27,4,4,1,2
1511948397162640 ,-4,-11,-62,11,43,-4,-3,-3
1511948397162640 ,2,-1,-42,-10,25,-16,1,-1
1511948397179170 ,-3,-12,11,1,-18,15,-1,-3
1511948397179170 ,-1,2,-15,-8,19,4,-2,-2
1511948397180670 ,0,11,24,-20,-38,-33,-2,-2
1511948397180670 ,2,10,11,1,-26,12,-1,0
1511948397201730 ,-6,-18,-14,35,47,-14,-6,-3
1511948397201730 ,-3,0,-25,-17,-3,28,10,-2
1511948397203230 ,-4,0,14,9,-14,17,-2,-2
1511948397203230 ,6,12,-3,-41,-32,-52,-10,0
1511948397215770 ,3,8,29,17,62,25,10,4
1511948397215770 ,-6,-3,-23,6,-48,-9,-10,-7
1511948397222810 ,-4,-15,-5,6,-13,24,6,-3
1511948397222810 ,2,10,38,-20,61,5,1,0
1511948397255370 ,-6,-19,-70,14,-32,2,-4,-3
1511948397255370 ,-2,3,26,-24,22,3,-3,-2
1511948397256880 ,-1,-4,-35,3,10,-28,-4,0
1511948397256880 ,-3,-3,18,23,1,12,-1,-3
1511948397257880 ,0,5,16,-15,-18,5,3,0
1511948397257880 ,-3,-1,-38,-12,35,17,-2,-2
1511948397261890 ,3,5,31,20,-44,-24,-3,0
1511948397261890 ,0,4,38,38,7,10,1,0
1511948397284740 ,1,-7,-96,-37,-2,-12,-2,-1
1511948397284740 ,-3,0,20,7,-29,-5,-3,-3
1511948397291690 ,-3,-5,-4,-20,-2,2,-5,-3
1511948397291690 ,0,-5,-11,-22,0,9,2,0
1511948397292190 ,-1,4,32,55,-17,-15,-4,-2
1511948397292190 ,-4,-11,-13,-33,-6,-7,-3,-1
1511948397314340 ,6,2,0,8,10,-5,2,0
1511948397314340 ,2,-10,-36,-43,-15,0,-3,-5
1511948397315250 ,-7,7,52,18,-10,-5,-3,-2
1511948397315250 ,0,1,3,-13,-16,-5,-1,-1
1511948397320270 ,-17,-1,11,12,18,3,-2,-1
1511948397320270 ,-2,-9,-17,-5,-1,9,4,1
1511948397335810 ,3,5,9,-10,-18,-7,-2,-2
1511948397335810 ,7,1,-3,19,7,-1,1,0
1511948397342830 ,4,3,-3,-22,-4,-3,-1,-3
1511948397342830 ,3,-7,2,36,8,0,-3,-2
1511948397358390 ,-17,-5,-16,-31,-12,-7,-3,-2
1511948397358390 ,4,-3,-5,-7,0,-2,-3,-3
1511948397365410 ,-4,0,7,17,0,-9,-3,-2
